sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,November,2020,5-11,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26,0,0,119659.26
0,December,2020,5-11,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47
0,January,2021,5-11,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89,0,0,121056.89
0,February,2021,5-11,980,980,980,980,980,980,980,980,980,980,980,980,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04
0,March,2021,5-11,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94
0,April,2021,5-11,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16,0,0,129554.16
0,May,2021,5-11,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99,0,0,134065.99
0,June,2021,5-11,960,960,960,960,960,960,960,960,960,960,960,960,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34,0,0,140350.34
0,January,2020,60-69,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89,0,0,22288.89
0,February,2020,60-69,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05,0,0,23826.05
