sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,all_months,2021,12-17,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67
0,all_months,2020,25-29,56603,56603,56603,56603,56603,56603,56603,56603,56603,56603,56603,56603,56603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37
0,all_months,2021,25-29,22065,22065,22065,22065,22065,22065,22065,22065,22065,22065,22065,22065,22065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34
1,all_months,2020,12-17,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74
1,all_months,2021,12-17,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62
1,all_months,2020,0-4,13215,13215,12849,12849,13215,12849,12849,13215,13215,13215,13215,13215,13215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10195.71,0,0,10486.13,0,0,10486.13,0,0,10195.71,0,0,10486.13,0,0,10486.13,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71
1,all_months,2021,0-4,5648,5648,5467,5467,5648,5467,5467,5648,5648,5648,5648,5648,5648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23855.58,0,0,24645.39,0,0,24645.39,0,0,23855.58,0,0,24645.39,0,0,24645.39,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58
both_sexes,all_months,2020,50-59,451293,451293,451293,451293,451293,451293,451293,450927,451293,451293,451293,450927,451293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.56,0,0,298.56,0,0,298.56,0,0,298.56,0,0,298.56,0,0,298.56,0,0,298.8,0,0,298.56,0,0,298.56,0,0,298.56,0,0,298.8,0,0,298.56
both_sexes,all_months,2020,18-24,140498,140498,140498,140498,140498,140498,140498,140498,140498,140498,140498,140498,140498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99,0,0,958.99
both_sexes,all_months,2021,18-24,58164,58164,58164,58164,58164,58164,58164,58164,58164,58164,58164,58164,58164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49,0,0,2316.49
